evidence_id,refs,message_id,date,chat,support_type,summary,status,curated_file,source_file,exists
IMG-P001-PRICE-32157,P001,32157,2026-01-29 09:13:38,Sales Olshop Santi Mebel,purchase_price_baseline,Jurnal purchase invoice screenshot showing Royal Grand Exclusive 90cm Biru unit price Rp500.860; supports P001 original purchase baseline.,curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/p001_price_invoice_msg_32157.jpg,/Users/wecik/Library/Group Containers/group.net.whatsapp.WhatsApp.shared/Message/Media/6281393267325@s.whatsapp.net/5/6/56153611-c7e9-4d81-9631-9145486535fc.jpg,True
IMG-LOAN-PRICE-LIST-41696,P001;P002;P003,41696,2026-02-12 14:59:51,INTERNAL Santi Living,hpp_price_basis,"Price list/HPP image for Grand Exclusive 20 showing paket 10+1 prices: 90 Rp469.409, 100 Rp536.400, 120 Rp628.724, 160 Rp790.379; supports payroll-loan price basis.",curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/initial_loan_hpp_price_list_msg_41696.jpg,/Users/wecik/Library/Group Containers/group.net.whatsapp.WhatsApp.shared/Message/Media/120363422057960855@g.us/e/d/ed1bd747-b662-421a-9735-bb72dbcec6a3.jpg,True
IMG-LOAN-KASUR-LIST-44284,P001;P002;P003,44284,2026-02-15 18:14:49,mas ghana,item_quantity_support,"Spreadsheet screenshot listing 13 Royal Grand mattresses: 1x90, 4x100, 2x120, 6x160; supports initial kasur quantity split.",curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/initial_loan_13_kasur_list_msg_44284.jpg,/Users/wecik/Library/Group Containers/group.net.whatsapp.WhatsApp.shared/Message/Media/6282138001051@s.whatsapp.net/2/7/27df422f-5a80-4696-935a-b0b63cecbcf4.jpg,True
IMG-LOAN-HPP-CALC-44301,P001;P002;P003,44301,2026-02-15 18:20:02,mas ghana,hpp_total_support,HPP calculation image: 90x200 Rp469.409 x1; 100x200 Rp536.400 x4; 120x200 Rp628.724 x2; 160x200 Rp790.379 x6; total 13 kasur Rp8.614.731.,curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/initial_loan_hpp_calc_13_kasur_msg_44301.jpg,/Users/wecik/Library/Group Containers/group.net.whatsapp.WhatsApp.shared/Message/Media/6282138001051@s.whatsapp.net/d/4/d454b60b-b61f-49e7-87b7-edca69324c22.jpg,True
IMG-ACCESSORY-LIST-48224,P002;P003;BG003,48224,2026-02-21 12:38:52,INTERNAL Santi Living,accessory_item_support,"Accessory spreadsheet image listing Springback, Royal King, and Comfy pillow rows with Feb 13/14 dates; supports bantal purchase mapping when combined with chat text.",curated_supporting_partial_crop,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/initial_accessory_list_msg_48224.jpg,/Users/wecik/Library/Group Containers/group.net.whatsapp.WhatsApp.shared/Message/Media/120363422057960855@g.us/a/3/a3959c13-d7cb-448a-8e7e-7d9542c62122.jpg,True
IMG-LOAN-JURNAL-49244,P001;P002;P003;BG003,49244,2026-02-23 09:25:14,Fajar Sudrajad HRD,loan_principal_support,"Jurnal outstanding screenshot for MAS DONI (WA GHANA), total piutang Rp9.553.331; supports payroll loan principal.",curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/payroll_loan_jurnal_outstanding_msg_49244.jpg,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/evidence/fajar_outstanding_jurnal_msg_49244.jpg,True
IMG-LOAN-TALENTA-93190,P001;P002;P003;BG003,93190,2026-04-20 09:26:41,Fajar Sudrajad HRD,loan_payment_schedule_support,Talenta loan detail screenshot showing Rp1.590.000 payments on 2026-02-27 and 2026-03-27 plus remaining Rp6.373.331.,curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/payroll_loan_talenta_msg_93190.jpg,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/evidence/fajar_talenta_loan_msg_93190.jpg,True
IMG-LOAN-PAYOFF-122773,P001;P002;P003;BG003,122773,2026-05-15 13:16:21,Fajar Sudrajad HRD,loan_payoff_support,"Jago transfer receipt Rp4.783.331, transfer ID 260515SYATIDJ100023688, note pelunasan utang dhoni; supports final loan payoff.",curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/payroll_loan_payoff_jago_msg_122773.jpg,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/evidence/jago_transfer_pelunasan_msg_122773.jpg,True
IMG-P004-INVOICE-62205,P004,,2026-03-19,import evidence,invoice_item_total_support,"Sales invoice #62205 thumbnail for P004; OCR is low quality, kept as image support beside text evidence that payment was marked lunas.",curated_supporting_low_ocr,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/p004_sales_invoice_62205_thumb.jpg,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/evidence/sales_invoice_62205_thumb_p004.jpg,True
IMG-BG005-PAY-72129,BG005,72129,2026-03-24 13:55:55,Sales Olshop Santi Mebel,cash_payment_support,"Transfer details receipt Rp114.400 to Ika Hendrasanti, transaction ID 260324SYATIDJ100014744, note bantal 4; supports BG005 cash/lunas.",curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/bg005_payment_bantal4_msg_72129.jpg,/Users/wecik/Library/Group Containers/group.net.whatsapp.WhatsApp.shared/Message/Media/6281393267325@s.whatsapp.net/9/4/945e0597-cea2-4d9c-afa6-cf511bf1f59a.jpg,True
IMG-P005-INVOICE-63002,P005,,2026-04-03,import evidence,invoice_item_total_support,Sales invoice #63002 thumbnail for P005; supports invoice/item mapping beside Jurnal text evidence Rp1.134.000.,curated_supporting_low_ocr,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/p005_sales_invoice_63002_thumb.jpg,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/evidence/sales_invoice_63002_thumb_p005.jpg,True
IMG-P006-PAY-92508,P006,92508,2026-04-19 07:58:44,Sales Olshop Santi Mebel,cash_payment_support,"Jago transfer receipt Rp1.616.000, transfer ID 260419SYATIDJ100005822, note kasur 2 bantal 3; supports P006 cash/lunas.",curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/p006_payment_kasur2_bantal3_msg_92508.jpg,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/evidence/jago_transfer_p006_msg_92508.jpg,True
IMG-BG007-PAY-112161,BG007,112161,2026-05-08 13:05:07,Sales Olshop Santi Mebel,cash_payment_support,"Transfer details receipt Rp400.000 to Ika Hendrasanti, transaction ID 260508SYATIDJ100022891, note 8 bantal dhoni; supports BG007 cash/lunas.",curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/bg007_payment_8bantal_msg_112161.jpg,/Users/wecik/Library/Group Containers/group.net.whatsapp.WhatsApp.shared/Message/Media/130382607479005@lid/c/e/ce128ec3-3890-4f94-b2ea-050a5f6f4fa6.jpg,True
IMG-P007-INVOICE-65396,P007,,2026-05-14,import evidence,invoice_item_total_support,Sales invoice #65396 image for P007; supports invoice/item mapping beside transfer/Jurnal evidence Rp793.000.,curated_supporting,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/santi-living-payment-final-2026-05-25/image-evidence-curated/p007_sales_invoice_65396.jpg,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Invoice-65396-whatsapp.jpg,True
