purchase_ref,date,items,purchase_total_idr,payment_basis_amount_idr,payment_bucket,confidence,payment_status,evidence_summary,primary_evidence,sync_erp_action
P001,2026-01-29,RGE 90 biru 1 x 500860,500860,469409,santi_mebel_debt_salary_offset,high,settled_by_owner_contribution_and_bank_payoff,Fajar/Jurnal debt total Rp9.553.331 includes 4 invoices; hidden fourth invoice basis inferred as special HPP grand 90 Rp469.409.,Fajar msg 49244; Sales Olshop msg 48334,adjust_initial_bill_basis_or_book_price_adjustment
P002,2026-02-13,RGE 100 biru 4; RGE 160 biru 2; Bantal Springback 7,4518994,4076358,santi_mebel_debt_salary_offset,high,settled_by_owner_contribution_and_bank_payoff,"Fajar/Jurnal screenshot shows Sales Invoice #60333 Rp4.076.358, matching special HPP calculation.",Fajar msg 49244; Sales Olshop msg 48334,adjust_initial_bill_basis_or_book_price_adjustment
P003,2026-02-14,RGE 160 biru 4; RGE 120 biru 2; Bantal Springback 2; Bantal Comfy 7; Bantal Royal King 1,4848964,4827564,santi_mebel_debt_salary_offset,high,settled_by_owner_contribution_and_bank_payoff,"Fajar/Jurnal screenshot shows Sales Invoice #60336 Rp4.827.564, matching special HPP calculation.",Fajar msg 49244; Sales Olshop msg 48334,adjust_initial_bill_basis_or_book_price_adjustment
BG003,2026-02-20,Guling Comfy 4 x 45000,180000,180000,santi_mebel_debt_salary_offset,high,settled_by_owner_contribution_and_bank_payoff,Fajar/Jurnal screenshot shows Sales Invoice #60074 Rp180.000; Fajar confirms salary-offset settlement.,Fajar msg 49244; Sales Olshop/Fahri msgs 49290-49297,post_against_owner_contribution_and_bank_payoff
P004,2026-03-19,RGE 120 biru 4; Bantal Comfy 9,2874896,2874896,cash/lunas,high,paid,Ghana asked cash; invoice #62205; payment marked lunas in evidence.,msgs 68526-68749; Sales-Invoice-62205-thumb.jpg,mark_bill_paid_cash_lunas
BG005,2026-03-23,Bantal Royal King 4 x 28600,114400,114400,cash/lunas,high,paid,"Transfer/Jurnal line says Nama Doni, Barang bantal royal king, Jumlah Rp114.400.",Kiriman bukti transfer msg 72405,mark_bill_paid_cash_lunas
P005,2026-04-03,RGE 90 biru 2 x 567000,1134000,1134000,cash/lunas,high,paid,"Jurnal entry says nama Doni, barang grand 90, jumlah Rp1.134.000; invoice #63002 thumbnail confirms item and total.",Kiriman bukti transfer msg 80480; Sales-Invoice-63002-thumb.jpg,mark_bill_paid_cash_lunas
P006,2026-04-18,RGE 90 biru 1; RGE 100 biru 1; Bantal Springback 3,1616000,1616000,cash/lunas,high,paid,"Jago transfer receipt Rp1.616.000 on 2026-04-19 07:57 WIB, note kasur 2 bantal 3; chat context asks rekening after Sales Olshop total 1.616.",Sales Olshop msgs 92286; 92474; 92508; transfer ID 260419SYATIDJ100005822; jago_transfer_p006_msg_92508.jpg,mark_bill_paid_cash_lunas
BG007,2026-05-06,Bantal Springback 8 x 50000,400000,400000,cash/lunas,high,paid,Jurnal/transfer says Bantal Springback 8 / Rp400.000.,Kiriman bukti transfer msgs 112171 and 113039,mark_bill_paid_cash_lunas
P007,2026-05-14,RGE 100 biru 1 x 793000,793000,793000,cash/lunas,high,paid,"Invoice #65396 and transfer/Jurnal evidence say nama Doni, barang grand exclusive 100, jumlah Rp793.000.",Kiriman bukti transfer msg 122036; Sales-Invoice-65396-whatsapp.pdf,mark_bill_paid_cash_lunas
