row_type,ref_or_component,date,amount_idr,basis,evidence_messages,evidence_file_or_note,status,interpretation
purchase_ref,P001,2026-01-29,469409,purchase_basis,"Yudi msg 131387 invoice #60132; final purchase mapping","RGE90 x1",confirmed,"Included in P001-P003 clean installment basis"
purchase_ref,P002,2026-02-13,4076358,purchase_basis,"Yudi msg 131387 invoice #60133; final purchase mapping","RGE100 x4; RGE160 x2; Springback x7",confirmed,"Included in P001-P003 clean installment basis"
purchase_ref,P003,2026-02-14,4827564,purchase_basis,"Yudi msg 131387 invoice #60136; final purchase mapping","RGE160 x4; RGE120 x2; Springback x2; Comfy x7; Royal King x1",confirmed,"Included in P001-P003 clean installment basis"
purchase_ref,BG003,2026-02-20,180000,purchase_basis,"msgs 45500; 48272; 49290; 49292; 49297; 49303","Guling Comfy x4 @45000",confirmed_asset_conflicted_payment,"Real Santi Living asset; payment bucket conflicts between loan inclusion and separate transfer"
official_invoice,#60074,2026-02-20,180000,jurnal_yudi_loan_basis,"Yudi msg 131387","Listed with #60132 #60133 #60136 in debt list",conflicted,"Matches BG003 amount but also has separate Feb 26 transfer evidence"
official_invoice,#60132,2026-01-29,469409,jurnal_yudi_loan_basis,"Yudi msg 131387","Grand 90 adjusted price",confirmed,"Maps to P001"
official_invoice,#60133,2026-02-13,4076358,jurnal_yudi_loan_basis,"Yudi msg 131387","Grand 100; Grand 160; Springback",confirmed,"Maps to P002"
official_invoice,#60136,2026-02-14,4827564,jurnal_yudi_loan_basis,"Yudi msg 131387","Grand 160; Grand 120; Comfy; Royal King",confirmed,"Maps to P003"
evidence,E-GHANA-TERMS,2026-02-18,0,whatsapp_terms,"Ghana msg 46094","piutang kasur bantal guling divided 6x and auto salary deduction",confirmed,"Strong evidence that guling was intended to be included in loan group"
evidence,E-BG003-REQUEST,2026-02-23,180000,whatsapp_request,"msgs 49290; 49292; 49297; 49303","request to add guling 4 pcs @45000 to Fajar notes",confirmed,"Strong evidence BG003 was added to Fajar loan tracking"
evidence,E-BG003-SEPARATE-TRANSFER,2026-02-26,180000,whatsapp_transfer,"msgs 51498; 51499","Jago transfer 260226SYATIDJ100015140 from Muthia to Ika; note guling 4",conflicts_with_loan_inclusion,"Strong evidence BG003 may have been separately paid"
evidence,E-FAJAR-TALENTA,2026-04-20,9553331,talenta_loan,"Fajar msg 93190","Loan screen: 1590000 installments and remaining 6373331",confirmed,"Official payroll loan tracks total 9553331"
evidence,E-FAJAR-PAYOFF,2026-05-15,4783331,payoff_transfer,"Fajar msgs 122654; 122773","Jago transfer 260515SYATIDJ100023688 note pelunasan utang dhoni",confirmed,"Actual final transfer from Santi Living operating cash"
evidence,E-YUDI-FINAL-LIST,2026-05-25,9553331,jurnal_yudi_loan_basis,"Yudi msgs 131382-131387","Yudi says debt already paid off and sends invoices #60074 #60132 #60133 #60136",confirmed,"Official debt list includes BG003/#60074"
calculation,P001_P002_P003_TOTAL,,9373331,computed,"P001+P002+P003","469409+4076358+4827564",confirmed,"Clean business installment basis"
calculation,BG003_DELTA,,180000,computed,"BG003","Official loan total minus P001-P003",confirmed_asset_conflicted_payment,"Explains why official loan is higher than clean monthly basis"
calculation,OFFICIAL_LOAN_TOTAL,,9553331,computed,"#60074+#60132+#60133+#60136","180000+469409+4076358+4827564",confirmed,"Matches Talenta/Jurnal/Yudi loan basis"
calculation,CLEAN_MONTHLY_6X,,9373332,computed,"6 x 1562222","internal expected installment",confirmed,"Differs from P001-P003 by Rp1 rounding"
calculation,OFFICIAL_FINAL_RESIDUAL,,13331,computed,"4783331 - 3*1590000","Talenta rounded schedule residual",confirmed_not_purchase,"Rp13.331/Rp13.332 is schedule residual, not an item"
calculation,DRIFT_3_MONTHS,,83334,computed,"3 x (1590000-1562222)","Rani correction total",confirmed_not_santi_living_cash,"Drift corrected personally/household, not Santi Living operating cash"
calculation,EXACT_P_ONLY_FINAL,,4686665,computed,"9373331 - 3*1562222","clean P001-P003 basis",candidate_if_bg003_paid_separately,"Correct final AP amount if BG003 was already paid separately"
calculation,OLD_FINAL_PAYOFF_MINUS_EXACT_P_ONLY,,96666,computed,"4783331 - 4686665","overpayment/refund candidate",candidate_if_bg003_paid_separately,"Equals 83334 drift plus 13332 residual"
