scenario,priority,mutation_allowed,erp_action,payment_ref_scope,current_amount_idr,proposed_amount_idr,delta_idr,business_date,posting_channel,status,reason
STOP_GATE,0,false,NO_MUTATION,all SL-SM loan payments,9553331,,0,,,"blocked","Deep WhatsApp audit strongly suggests BG003 was paid separately, but Santi Mebel must confirm whether transfer 260226SYATIDJ100015140 was applied to #60074"
SCENARIO_A_OFFICIAL_LOAN_INCLUDES_BG003,2,false,KEEP_EXISTING_PAYMENTS,P001;P002;P003;BG003,9553331,9553331,0,2026-02-27..2026-05-15,"current loan/payoff split","less_likely_after_deep_audit","Use only if Santi Mebel says the Feb 26 Rp180000 transfer was not BG003/#60074 settlement or was applied elsewhere"
SCENARIO_A_OFFICIAL_LOAN_INCLUDES_BG003,2,false,DO_NOT_REDUCE_AP_FOR_DRIFT,drift correction,83334,0,-83334,2026-03-03..2026-05-02,"personal correction outside Santi Living","less_likely_after_deep_audit","Would keep AP closed at official loan basis, but conflicts with clean monthly Rp1562222 and separate guling receipt evidence"
SCENARIO_B_BG003_PAID_SEPARATELY,1,false,VOID_RECREATE,old payroll offsets 1-3,4770000,4686666,-83334,2026-02-27..2026-04-27,"owner contribution/payroll clearing","recommended_after_confirmation","Use if Feb 26 BG003 transfer was applied to #60074; first three installments become 3 x Rp1562222"
SCENARIO_B_BG003_PAID_SEPARATELY,1,false,CREATE_OR_REALLOCATE_PAYMENT,BG003/#60074,0,180000,180000,2026-02-26,"owner/family contribution clearing or reimbursement clearing","candidate_after_confirmation","Record separate Jago transfer from Muthia to Ika if Santi Living treats it as owner/family-paid supplier settlement"
SCENARIO_B_BG003_PAID_SEPARATELY,1,false,CREATE_SUPPLIER_REFUND_OR_RECEIVABLE,BG003/#60074 double-count,180000,0,-180000,2026-02-26..2026-05-15,"supplier refund/receivable handling","recommended_after_confirmation","After user clarification, do not net mattress drift into guling; if #60074 stayed in Talenta payoff after separate transfer, guling-specific refund candidate is Rp180000"
SCENARIO_C_MATTRESS_PRICE_DRIFT,1,false,CREATE_PRICE_ADJUSTMENT_OR_VENDOR_CREDIT,mattress price correction all 6 months,166668,0,-166668,2026-02-27..2026-07-27,"supplier credit/refund separate from BG003","recommended_after_policy","User clarified Rp27778/month is wrong mattress price correction, not guling; track received vs pending months separately"
SCENARIO_C_MATTRESS_PRICE_DRIFT,1,false,TRACK_PENDING_REFUND,last 3 months drift if not yet received,83334,0,-83334,2026-05-15..2026-07-27,"supplier refund/receivable","recommended_after_policy","If first 3 monthly Rani refunds are already received, remaining claim is 3 x Rp27778"
ACCOUNTING_GUARD,0,false,CAPABILITY_CHECK,payment_void/payment_create,,0,0,,MCP/API,"required_before_any_mutation","Use app-level void + recreate only; verify businessDate support and no journal credit to Inventory"
APP_IMPROVEMENT,3,false,FEATURE_PROPOSAL,supplier overpayment/refund handling,,96666,0,,Sync ERP accounting,"recommended","ERP should support split payment allocation or supplier refund/credit memo so actual bank transfer can tie to AP plus receivable cleanly"
